Name                                 Publisher                                             Version
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1602270800
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1604142300
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1606092330
DockerExtension                      Microsoft.Azure.Extensions                            1.2.0
DockerExtension                      Microsoft.Azure.Extensions                            1.2.2
FixEmulatedIO                        Microsoft.Azure.Extensions                            1.0.0
FixLinuxDiagnostic                   Microsoft.Azure.Extensions                            1.0.0
GuestActionForLinux                  Microsoft.Azure.Extensions                            1.0.0
GuestActionForWindows                Microsoft.Azure.Extensions                            1.0.0
LinuxAsm                             Microsoft.Azure.Extensions                            2.0.1
LinuxAsm                             Microsoft.Azure.Extensions                            2.1.0
LinuxAsm                             Microsoft.Azure.Extensions                            2.1.1
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.0
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.1
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.2
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.3
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.4
LinuxAsm                             Microsoft.Azure.Extensions                            2.2.5
FileServerIaaS                       Microsoft.Azure.FileServer.Edp                        1.0.0.1
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.0.0.3
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.0.0.6
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.0.0.8
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.10.0.2
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.10.0.3
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.14.0.2
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.8.0.2
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.8.0.3
GenevaMonitoring                     Microsoft.Azure.Geneva                                1.8.0.4
